EDGEID,STARTNODE,ENDNODE,
GHALL01401_GHALL00801,GHALL01401,GHALL00801,
GHALL01701_GELEV00Q01,GHALL01701,GELEV00Q01,
GHALL02101_GHALL02201,GHALL02101,GHALL02201,
GHALL02101_GHALL02801,GHALL02101,GHALL02801,
GHALL03001_GHALL03301,GHALL03001,GHALL03301,
GHALL03702_GHALL03802,GHALL03702,GHALL03802,
GHALL03802_GHALL03402,GHALL03802,GHALL03402,
GELEV00Q02_GREST03102,GELEV00Q02,GREST03102,
GHALL03202_GSTAI02802,GHALL03202,GSTAI02802,
GSTAI02602_GELEV00N02,GSTAI02602,GELEV00N02,
GHALL01702_GINFO01902,GHALL01702,GINFO01902,
GHALL02102_GINFO01902,GHALL02102,GINFO01902,
GHALL02302_GHALL02702,GHALL02302,GHALL02702,
GHALL01602_GHALL01402,GHALL01602,GHALL01402,
GHALL01302_GHALL01102,GHALL01302,GHALL01102,
GHALL01002_GDEPT00702,GHALL01002,GDEPT00702,
GHALL00502_GHALL00302,GHALL00502,GHALL00302,
GHALL00202_GHALL00102,GHALL00202,GHALL00102,
GHALL00303_GDEPT00403,GHALL00303,GDEPT00403,
GHALL00603_GHALL00803,GHALL00603,GHALL00803,
GHALL01103_GREST01203,GHALL01103,GREST01203,
GDEPT01403_GSERV01603,GDEPT01403,GSERV01603,
GHALL003L1_GHALL005L1,GHALL003L1,GHALL005L1,
GSTAI00903_GSTAI02602,GSTAI00903,GSTAI02602,
HHALL00102_HHALL00202,HHALL00102,HHALL00202,
HHALL00302_WHALL00302,HHALL00302,WHALL00302,
HRETL00202_HBATH00102,HRETL00202,HBATH00102,
HHALL00702_HSTAI00202,HHALL00702,HSTAI00202,
HHALL00902_WHALL00702,HHALL00902,WHALL00702,
HHALL01002_WHALL00502,HHALL01002,WHALL00502,
HHALL00503_HHALL00403,HHALL00503,HHALL00403,
HHALL00303_HHALL00103,HHALL00303,HHALL00103,
HHALL00703_HHALL00803,HHALL00703,HHALL00803,
